[0.000000] (-) TimerEvent: {}
[0.000788] (-) JobUnselected: {'identifier': 'arm_autopilot'}
[0.000887] (-) JobUnselected: {'identifier': 'arm_color_transport'}
[0.000936] (-) JobUnselected: {'identifier': 'arm_mediapipe'}
[0.001138] (-) JobUnselected: {'identifier': 'arm_moveit_demo'}
[0.001295] (-) JobUnselected: {'identifier': 'garbage_identify_yolov11'}
[0.001471] (-) JobUnselected: {'identifier': 'joy'}
[0.001548] (-) JobUnselected: {'identifier': 'ros2_orbslam'}
[0.001589] (-) JobUnselected: {'identifier': 'x3plus_moveit_config'}
[0.001623] (-) JobUnselected: {'identifier': 'yahboomcar_astra'}
[0.001654] (-) JobUnselected: {'identifier': 'yahboomcar_bringup'}
[0.001685] (-) JobUnselected: {'identifier': 'yahboomcar_ctrl'}
[0.001715] (-) JobUnselected: {'identifier': 'yahboomcar_description'}
[0.001744] (-) JobUnselected: {'identifier': 'yahboomcar_laser'}
[0.001773] (-) JobUnselected: {'identifier': 'yahboomcar_linefollw'}
[0.001808] (-) JobUnselected: {'identifier': 'yahboomcar_mediapipe'}
[0.001840] (-) JobUnselected: {'identifier': 'yahboomcar_msgs'}
[0.001870] (-) JobUnselected: {'identifier': 'yahboomcar_multi'}
[0.001899] (-) JobUnselected: {'identifier': 'yahboomcar_nav'}
[0.001927] (-) JobUnselected: {'identifier': 'yahboomcar_slam'}
[0.001958] (-) JobUnselected: {'identifier': 'yahboomcar_visual'}
[0.002133] (-) JobUnselected: {'identifier': 'yahboomcar_voice_ctrl'}
[0.002182] (-) JobUnselected: {'identifier': 'ydlidar_ros2_driver'}
[0.002293] (-) JobUnselected: {'identifier': 'ydlidar_sdk'}
[0.002344] (-) EventReactorShutdown: {}
